Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1993-04-25,1992,Final,8,DEN,120.0,Denver Nuggets,24,PHX,118,Phoenix Suns
1994-02-20,1993,Final,12,IND,101.0,Indiana Pacers,21,OKC,95,Oklahoma City Thunder
1994-02-21,1993,Final,9,DET,88.0,Detroit Pistons,7,DAL,98,Dallas Mavericks
1994-02-22,1993,Final,11,HOU,98.0,Houston Rockets,8,DEN,97,Denver Nuggets
1994-02-23,1993,Final,30,WAS,96.0,Washington Wizards,6,CLE,106,Cleveland Cavaliers
1994-02-25,1993,Final,12,IND,110.0,Indiana Pacers,9,DET,90,Detroit Pistons
1995-01-12,1994,Final,8,DEN,94.0,Denver Nuggets,7,DAL,78,Dallas Mavericks
1995-01-13,1994,Final,5,CHI,79.0,Chicago Bulls,26,SAC,89,Sacramento Kings
1995-01-14,1994,Final,7,DAL,77.0,Dallas Mavericks,16,MIA,84,Miami Heat
1995-01-16,1994,Final,30,WAS,109.0,Washington Wizards,5,CHI,101,Chicago Bulls
1995-01-17,1994,Final,26,SAC,95.0,Sacramento Kings,25,POR,88,Portland Trail Blazers
1995-01-18,1994,Final,5,CHI,93.0,Chicago Bulls,17,MIL,97,Milwaukee Bucks
1995-01-19,1994,Final,11,HOU,77.0,Houston Rockets,20,NYK,93,New York Knicks
1995-01-20,1994,Final,12,IND,99.0,Indiana Pacers,1,ATL,89,Atlanta Hawks
1995-01-20,1994,Final,16,MIA,114.0,Miami Heat,27,SAS,115,San Antonio Spurs
1995-01-21,1994,Final,7,DAL,91.0,Dallas Mavericks,21,OKC,117,Oklahoma City Thunder
1995-01-22,1994,Final,12,IND,98.0,Indiana Pacers,27,SAS,93,San Antonio Spurs
1995-01-24,1994,Final,9,DET,116.0,Detroit Pistons,23,PHI,105,Philadelphia 76ers
1995-01-26,1994,Final,30,WAS,118.0,Washington Wizards,10,GSW,121,Golden State Warriors
1995-01-27,1994,Final,23,PHI,107.0,Philadelphia 76ers,24,PHX,108,Phoenix Suns
1995-01-28,1994,Final,9,DET,89.0,Detroit Pistons,16,MIA,85,Miami Heat
1995-01-29,1994,Final,20,NYK,107.0,New York Knicks,24,PHX,88,Phoenix Suns
1995-01-30,1994,Final,29,UTA,115.0,Utah Jazz,18,MIN,80,Minnesota Timberwolves
1995-01-31,1994,Final,26,SAC,96.0,Sacramento Kings,27,SAS,97,San Antonio Spurs
1995-02-01,1994,Final,24,PHX,118.0,Phoenix Suns,14,LAL,109,Los Angeles Lakers
1995-02-01,1994,Final,3,BKN,95.0,Brooklyn Nets,17,MIL,77,Milwaukee Bucks
1995-02-03,1994,Final,10,GSW,106.0,Golden State Warriors,13,LAC,89,LA Clippers
1995-02-04,1994,Final,13,LAC,118.0,LA Clippers,14,LAL,121,Los Angeles Lakers
1995-02-05,1994,Final,22,ORL,103.0,Orlando Magic,20,NYK,100,New York Knicks
1995-02-06,1994,Final,3,BKN,101.0,Brooklyn Nets,9,DET,97,Detroit Pistons
1995-02-07,1994,Final,20,NYK,87.0,New York Knicks,17,MIL,95,Milwaukee Bucks
1995-02-08,1994,Final,26,SAC,86.0,Sacramento Kings,11,HOU,97,Houston Rockets
1995-11-18,1995,Final,27,SAS,109.0,San Antonio Spurs,4,CHA,107,Charlotte Hornets
